,Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
73,74,Cisco,Telecom hardware manufacturing,"56,998",10.6%,"84,900","San Jose, California"
74,75,Nationwide Mutual Insurance Company,Financial,"54,609",6.1%,"24,118","Columbus, Ohio"
75,76,Charter Communications,Telecommunications,"54,607",1.1%,"101,100","Stamford, Connecticut"
76,77,AbbVie,Pharmaceutical industry,"54,317",-6.4%,"50,000","Lake Bluff, Illinois"
77,78,New York Life Insurance Company,Insurance,"54,317",14.2%,"15,384","New York City, New York"
78,79,Intel,Technology,"54,228",-14.0%,"124,800","Santa Clara, California"
79,80,TJX,Retail,"49,936",2.9%,"329,000","Framingham, Massachusetts"
80,81,Prudential Financial,Financials,"53,979",-10.1%,"40,366","Newark, New Jersey"
81,82,HP,Technology,"53,718",-14.5%,"58,000","Palo Alto, California"
82,83,United Airlines,Airline,"53,717",19.5%,"103,300","Chicago, Illinois"
83,84,Performance Food Group,Food processing,"53,355",13.1%,"34,825","Richmond, Virginia"
84,85,Tyson Foods,Food processing,"52,788",-0.8%,"139,000","Springdale, Arkansas"
85,86,American Airlines,Airline,"52,788",7.8%,"132,100","Fort Worth, Texas"
86,87,Liberty Mutual,Insurance,"52,612",5.3%,"45,000","Boston, Massachusetts"
87,88,Nike,Apparel,"51,217",9.6%,"83,700","Beaverton, Oregon"
88,89,Oracle Corporation,Technology,"49,954",17.7%,"164,000","Austin, Texas"
89,90,Enterprise Products,Petroleum industry,"49,715",-14.6%,"7,500","Houston, Texas"
90,91,Capital One Financial,Financials,"49,484",29.0%,"51,987","Richmond, Virginia"
91,92,Plains All American Pipeline,Petroleum industry,"48,712",-15.1%,"4,200","Houston, Texas"
92,93,World Kinect Corporation,Energy trading,"47,711",-19.2%,"5,289","Doral, Florida"
93,94,AIG,Insurance,"46,802",-17.1%,"25,200","New York City, New York"
94,95,Coca-Cola,Beverage,"45,754",6.4%,"79,100","Atlanta, Georgia"
95,96,TIAA,Financials,"45,735",11.8%,"16,023","New York City, New York"
96,97,CHS,Agriculture cooperative,"45,590",-4.6%,"10,609","Inver Grove Heights, Minnesota"
97,98,Bristol-Myers Squibb,Pharmaceutical industry,"45,006",-2.5%,"34,100","New York City, New York"
98,99,Dow Chemical Company,Chemical industry,"44,622",-21.6%,"35,900","Midland, Michigan"
99,100,Best Buy,Retail,"43,452",-6.1%,"85,000","Richfield, Minnesota"
